StockCode,Quantite_Totale,CA_Total,Nb_Lignes_Commandes,Nb_Clients_Uniques
10002,823,699.55,49,40
10080,291,114.41,21,19
10120,193,40.53,30,25
10123C,5,3.25,3,3
10124A,16,6.72,5,5
10124G,17,7.14,4,4
10125,1226,930.3,64,49
10133,2384,1143.6100000000001,124,101
10135,1938,1786.69,121,92
11001,1252,1953.0,64,44
15030,143,41.47,13,11
15034,6419,697.0600000000001,91,70
15036,21876,16044.44,325,194
15039,1559,1133.15,71,58
15044A,428,1248.2800000000002,79,53
15044B,307,865.6500000000001,48,36
15044C,272,782.4000000000001,61,43
15044D,630,1735.74,74,53
15056BL,2779,15218.67,291,142
15056N,3826,20696.71,382,184
15056P,769,4254.16,137,87
15058A,148,1104.6,51,40
15058B,115,866.25,41,32
15058C,193,894.35,30,26
15060B,411,1482.87,95,68
16008,2892,360.71,70,54
16010,30,3.5999999999999996,3,3
16011,1773,372.33,47,38
16012,1244,261.24,37,33
16014,13328,4335.76,54,34
16015,662,289.98,24,19
16016,1273,1053.45,65,41
16020C,6,5.1,2,1
16033,840,100.79999999999998,4,4
16043,98,11.759999999999998,2,2
16045,8900,380.0,69,61
16046,67,56.949999999999996,16,13
16048,1437,186.84,49,41
16049,504,82.08,5,5
16052,467,105.28999999999999,6,5
16054,1166,140.52,33,29
16151A,49,61.25,3,3
16156L,475,199.5,18,17
16156S,5800,2331.0,167,135
16161G,700,70.0,22,22
16161M,25,10.5,1,1
16161P,7226,2990.92,249,189
16161U,4075,1687.5,134,105
16162L,17,11.05,6,5
16162M,26,10.92,7,6
16168M,329,138.18,20,19
16169E,4563,1892.46,150,143
16169K,200,84.0,8,8
16169M,660,277.2,26,24
16169N,25,10.5,1,1
16169P,50,21.0,2,2
16202A,7,3.5,2,2
16202B,29,14.5,2,2
16202E,15,7.5,3,3
16206B,7,8.75,2,2
16207A,13,38.35000000000001,5,4
16207B,4,11.31,3,3
16216,3316,227.14,41,38
16218,3760,253.2,50,43
16219,2915,309.9,47,41
16225,762,599.34,77,57
16235,2665,525.75,81,68
16236,1296,266.56,73,59
16237,4598,886.08,169,109
16238,1261,265.51,80,61
16244B,7,7.85,2,2
16248B,13,16.25,7,7
16254,31,27.91,9,7
16258A,445,156.53,38,29
16259,3380,326.56,31,28
17001,72,20.88,1,1
17003,22963,5980.05,209,136
17007B,24,50.400000000000006,2,2
17011F,80,62.150000000000006,6,6
17012A,270,244.89999999999998,25,21
17012B,455,422.54999999999995,36,33
17012C,363,344.34999999999997,44,37
17012D,387,366.34999999999997,46,35
17012E,59,52.05,4,3
17012F,365,329.05,42,33
17013D,532,257.88,11,10
17014A,154,67.83,7,7
17021,2427,643.14,57,30
17028J,6,2.52,1,1
17038,1501,138.1,19,18
17084A,200,42.0,7,7
17084J,225,47.25,8,8
17084N,1025,212.75,32,25
17084P,349,73.29,13,12
17084R,4032,760.3199999999999,27,16
17090A,109,107.44999999999999,10,9
17090D,29,36.25,13,6
17091A,172,99.29,26,19
17091J,2066,876.34,91,66
17096,2516,443.76000000000005,13,12
17107D,171,436.04999999999995,47,42
17109D,61,32.349999999999994,5,4
17129F,427,291.25,19,11
17136A,404,33.75,20,16
17164B,29,12.18,10,9
17165D,27,28.35,7,6
17174,9,3.7800000000000002,3,3
17191A,4,15.0,2,1
18007,5856,383.76,18,15
18094C,134,153.1,15,13
18097A,5,12.75,4,4
18097C,673,1471.3500000000001,56,43
18098C,193,540.5500000000001,38,24
20615,231,233.34,35,28
20616,134,122.78,25,19
20617,66,137.74,26,20
20618,68,137.88000000000002,28,20
20619,142,206.23000000000002,22,16
20622,163,240.18,33,24
20652,150,194.76,36,26
20653,33,43.67,6,5
20654,105,126.69,24,21
20655,89,109.11,34,20
20657,61,76.39,22,20
20658,328,410.0,62,44
20659,95,140.81,32,18
20661,9,35.07,5,3
20662,11,40.97,5,4
20663,3,11.690000000000001,3,3
20664,6,17.700000000000003,3,3
20665,340,998.2000000000002,73,58
20666,4,11.8,4,4
20667,1,2.95,1,1
20668,12714,1408.56,188,111
20669,195,243.75,47,36
20670,8,29.28,6,5
20671,10,12.5,2,2
20674,1373,1649.06,152,101
20675,2729,3179.9,226,149
20676,4363,5046.9800000000005,304,185
20677,3159,3642.5800000000004,224,133
20678,4,6.6,1,1
20679,1630,9055.87,271,141
20681,125,406.25,34,29
20682,1140,3629.66,183,138
20684,78,253.5,33,30
20685,3901,25397.85,579,329
20686,255,832.13,65,51
20694,36,135.0,11,9
20695,5,21.25,4,4
20696,32,120.0,10,10
20697,19,48.449999999999996,11,8
20698,16,40.8,8,7
20699,29,73.94999999999999,11,11
20700,10,37.5,4,4
20701,6,22.5,3,3
20702,128,544.0,41,31
20703,1,4.25,1,1
20704,211,626.45,39,38
20705,143,428.85,28,27
20707,155,195.52,31,20
20711,4198,7689.28,247,152
20712,8187,15511.6,497,248
20713,10466,19076.92,421,207
20716,314,373.5,35,31
20717,2036,2455.88,236,150
20718,4264,5115.31,390,236
20719,9237,7277.24,546,238
20723,6847,5520.95,500,230
20724,12809,10125.85,751,335
20725,17897,28338.45,1317,532
20726,9115,14537.11,842,372
20727,11291,18024.55,1105,458
20728,10820,17265.68,989,479
20731,74,92.5,8,8
20733,918,688.9,49,30
20735,158,121.3,30,11
20748,53,675.75,30,26
20749,1719,12123.41,368,239
20750,1712,12216.8,367,235
20751,973,1984.2600000000002,197,127
20752,367,770.7,117,91
20754,1356,2670.48,243,153
20755,292,248.2,51,44
20756,63,53.55,22,20
20757,164,140.18,33,30
20758,161,136.85,44,35
20759,64,54.4,20,17
20760,69,58.65,22,18
20761,110,419.92,55,46
20762,101,382.46,51,42
20763,71,189.96,25,24
20764,128,491.13,62,45
20765,96,374.84,53,45
20766,113,422.08,50,41
20767,217,541.9699999999999,61,50
20768,131,320.26,37,31
20769,66,173.11999999999998,26,21
20770,108,259.2,29,24
20771,71,183.45999999999998,28,21
20772,218,534.46,46,40
20773,56,92.39999999999999,24,21
20774,52,85.8,23,21
20775,64,105.6,22,19
20777,95,156.75,36,32
20778,15,24.75,8,8
20780,37,198.35000000000002,19,13
20781,32,161.52,23,19
20782,40,221.35999999999999,18,12
20785,14,523.3000000000001,5,4
20793,8,54.0,4,4
20794,85,213.14999999999998,16,15
20795,44,92.4,8,6
20796,61,100.64999999999999,8,8
20798,36,75.60000000000001,5,5
20801,848,708.16,55,47
20802,648,730.4399999999999,44,40
20803,917,386.25,32,26
20816,8,15.6,2,1
20818,12,20.0,2,2
20819,48,183.71,16,14
20820,5,24.75,2,2
20821,16,79.2,5,5
20823,164,129.56,8,6
20826,276,128.4,8,7
20827,88,34.32,2,1
20828,1012,2494.2,186,116
20829,1265,2530.4900000000002,169,90
20830,75,157.5,20,19
20831,169,272.34000000000003,24,19
20832,1034,527.04,57,47
20835,66,54.779999999999994,7,7
20836,170,141.1,17,14
20837,141,142.47,15,14
20838,330,282.94,33,30
20839,452,411.84,49,44
20840,464,399.28,44,35
20845,19,120.64999999999999,11,7
20846,647,785.47,64,50
20847,46,172.5,14,12
20848,21,61.95,8,7
20851,9,53.550000000000004,7,5
20854,166,256.09999999999997,18,16
20856,140,231.0,27,26
20857,32,52.8,8,7
20861,2,4.2,2,2
20866,409,488.59,38,34
20867,187,231.47,25,23
20868,381,159.26000000000002,31,29
20869,139,54.21000000000001,18,17
20878,25,31.25,8,7
20886,453,853.35,79,56
20892,1,12.75,1,1
20893,259,569.1,20,16
20894,25,73.75,9,9
20897,85,230.35,8,8
20898,25,73.75,5,4
20901,4,25.4,3,2
20902,33,190.35,6,6
20903,20,127.0,10,10
20906,3,8.850000000000001,2,2
20910,8,50.8,3,2
20914,6170,17303.98,784,356
20931,263,794.45,37,35
20932,189,516.25,22,22
20933,23,71.05,9,9
20934,54,294.3,20,20
20935,6,17.700000000000003,4,4
20936,92,272.98,26,21
20941,61,76.25,18,13
20956,730,916.13,61,51
20961,1029,1305.61,130,82
20963,1102,1400.49,126,83
20964,2,5.1,1,1
20966,589,698.25,41,28
20967,257,963.75,76,63
20969,1876,6734.31,259,157
20970,1081,3983.63,232,141
20971,10225,11629.39,468,277
20972,7131,8648.49,550,312
20973,4007,2551.15,291,191
20974,6734,4235.1,303,195
20975,6400,4101.200000000001,315,231
20977,1597,1971.93,145,111
20978,1631,2014.43,185,133
20979,3523,4233.51,234,164
20980,27,33.75,11,10
20981,1851,1573.35,211,157
20982,2019,1709.9099999999999,222,158
20983,2652,2247.96,250,185
20984,3809,1169.0099999999998,176,135
20985,1017,1160.88,96,65
20986,462,546.76,63,40
20992,4365,1867.05,261,162
20996,3057,648.69,188,124
20997,15,74.25,5,4
20998,119,348.25000000000006,28,27
21000,46,195.5,17,16
21001,25,148.75,13,12
21002,13,55.25,5,5
21003,13,82.55,6,6
21011,18,26.099999999999998,2,2
21012,567,1133.3000000000002,83,66
21014,1233,455.56999999999994,70,64
21015,1251,377.90999999999997,68,59
21018,22,18.7,5,4
21025,100,127.25,16,14
21026,143,177.37,25,20
21027,101,122.45,19,16
21028,116,148.29,21,15
21030,121,153.67,23,19
21031,40,51.21,11,9
21032,65,84.88,16,13
21033,922,1934.75,109,75
21034,1893,1798.35,952,480
21035,2319,6820.01,225,151
21038,77,86.75,23,20
21039,510,1284.6599999999999,77,57
21040,22,29.7,8,8
21041,576,1699.2000000000003,146,100
21042,303,1802.8500000000001,109,71
21043,443,931.8499999999999,58,52
21051,108,228.83,24,23
21054,68,608.5999999999999,27,24
21055,146,1368.1399999999999,84,63
21056,174,1640.1799999999998,66,46
21058,1049,855.77,92,68
21059,573,487.04999999999995,77,67
21060,356,302.59999999999997,53,47
21061,412,350.2,52,49
21062,501,425.84999999999997,62,55
21063,483,412.10999999999996,81,64
21064,176,760.5,60,40
21065,487,839.05,44,31
21066,688,657.62,42,32
21067,203,249.38,44,30
21068,1535,1637.71,126,81
21069,1868,2049.05,52,35
21070,1033,1059.79,79,51
21071,849,1025.98,110,72
21078,2494,1982.08,205,148
21080,12313,9656.789999999999,753,427
21084,2199,463.85,106,90
21086,6589,4009.4900000000002,296,167
21087,126,62.120000000000005,10,10
21088,1576,345.42,74,67
21089,231,45.730000000000004,24,23
21090,1672,708.3,119,98
21094,7351,5496.53,328,179
21095,95,80.75,9,9
21096,1143,479.25,70,63
21098,3176,3680.05,184,115
21100,43,70.95,8,7
21106,193,530.95,35,30
21107,840,2218.8,66,48
21108,10082,17304.57,197,160
21109,837,2131.35,73,54
21110,775,2295.05,80,62
21111,789,1291.55,52,46
21112,1245,2551.83,46,37
21114,1352,1705.28,133,105
21115,523,2580.21,133,104
21116,489,2339.19,118,81
21117,115,149.25,17,11
21121,6502,7799.18,344,238
21122,5257,6353.58,315,214
21123,975,1215.81,102,66
21124,3970,4798.34,232,180
21125,598,747.5,71,59
21126,488,605.44,69,57
21128,47,284.16,16,12
21129,45,332.3,20,13
21131,93,290.25,17,11
21132,35,142.75,16,13
21135,2708,2975.24,168,122
21136,4476,7491.4,362,259
21137,11406,39064.55,317,140
21143,296,577.1999999999999,29,26
21145,122,152.5,8,8
21147,89,200.94,22,11
21154,3187,3751.63,268,175
21155,2460,5880.049999999999,361,205
21156,3039,5587.87,294,202
21157,49,102.9,15,12
21158,1427,686.91,155,103
21159,1109,542.75,109,73
21161,131,189.95,37,25
21162,1416,696.4,140,98
21163,1176,603.86,119,86
21164,1714,4850.620000000001,250,166
21165,4027,6405.3099999999995,367,178
21166,10209,20315.33,613,287
21167,1260,264.6,25,20
21169,4281,6762.57,356,191
21171,424,566.8,60,43
21172,3335,4708.2699999999995,383,236
21174,3926,8372.7,380,225
21175,11993,26107.44,701,343
21179,1785,1021.23,174,122
21181,11963,23930.920000000002,713,361
21187,330,525.3,35,30
21188,294,838.5000000000001,34,27
21189,165,272.25,29,27
21190,168,245.20000000000002,7,6
21191,394,788.0400000000001,44,38
21192,925,1391.85,43,32
21194,437,366.70000000000005,43,37
21195,417,607.86,24,21
21196,89,146.84999999999997,10,9
21197,243,322.71,13,13
21198,964,931.56,51,47
21199,864,766.56,49,45
21200,1010,1272.8999999999999,39,33
21201,1175,2672.25,75,44
21202,449,404.85,21,20
21204,419,691.3499999999999,51,44
21205,209,532.9499999999999,51,43
21206,1220,1446.6,77,55
21207,982,1533.8999999999999,86,74
21208,873,531.6899999999999,57,50
21209,1142,669.12,57,48
21210,5680,7947.37,368,244
21211,816,1144.8,68,58
21212,33693,16394.53,1068,635
21213,14309,6859.31,511,295
21215,868,461.8,66,51
21216,1841,8354.87,250,150
21217,975,9188.25,258,167
21218,2058,7071.2,206,130
21219,323,408.59,43,35
21220,239,312.06,42,34
21221,201,262.14,24,24
21222,198,257.18,38,26
21224,734,913.7,83,58
21226,9,11.25,5,4
21228,5,6.25,2,2
21231,5757,6875.860000000001,386,215
21232,10366,12210.06,593,312
21238,3519,2822.41,280,160
21239,2574,2051.4,204,141
21240,3156,2487.08,219,149
21242,3074,4860.98,225,148
21243,2113,3329.0499999999997,149,103
21244,2131,3359.47,148,107
21245,1014,1623.1,103,72
21246,175,849.45,39,33
21248,187,271.15,52,45
21249,672,1874.4,79,68
21250,92,257.0,17,15
21251,165,486.75000000000006,35,32
21253,66,192.54000000000002,17,14
21257,489,3735.3900000000003,154,100
21258,425,5014.23,106,61
21259,1128,6432.110000000001,239,133
21260,1129,3530.35,150,104
21261,167,520.6500000000001,27,24
21262,268,790.6000000000001,52,43
21263,165,321.75,39,32
21264,256,499.2,43,37
21265,128,249.59999999999997,16,15
21268,2,0.84,1,1
21269,28,238.0,18,17
21270,14,178.5,13,12
21272,503,660.0699999999999,66,49
21275,10,169.5,9,9
21277,23,485.9,20,19
21278,43,109.64999999999999,9,7
21279,65,165.75,12,12
21280,65,165.75,12,12
21281,35,89.24999999999999,6,6
21284,385,313.53,26,24
21285,350,357.62,33,26
21286,255,279.37,18,17
21287,1788,755.13,54,47
21288,256,716.8000000000001,42,33
21289,443,553.75,19,19
21291,920,782.0,40,32
21292,865,591.25,26,25
21293,101,214.13000000000002,19,14
21294,1536,722.88,60,46
21306,487,166.57,37,35
21307,79,39.199999999999996,13,11
21310,1,29.95,1,1
21311,478,165.76999999999998,48,40
21313,2843,2110.46,131,96
21314,3670,7412.56,346,215
21316,149,156.59,10,9
21317,96,516.2,28,23
21318,680,372.3,42,38
21319,147,129.51,12,12
21320,186,309.66,12,10
21324,69,203.55,20,20
21326,10088,6083.200000000001,287,168
21327,538,887.6999999999999,148,99
21328,760,1262.1999999999998,194,135
21329,589,980.0499999999998,172,120
21331,11,140.25,7,7
21332,14,143.3,8,8
21333,55,162.25,15,15
21336,8,23.6,3,3
21340,928,10161.41,264,179
21344,14,139.29999999999998,5,5
21348,139,355.65,5,5
21349,12,81.0,7,7
21351,101,654.55,33,27
21352,311,1118.65,37,35
21354,753,888.45,70,55
21355,777,961.65,114,95
21356,304,363.15,55,37
21357,19,23.75,11,9
21358,328,410.0,60,54
21359,127,759.65,27,22
21360,37,194.15,14,14
21361,91,1127.85,54,42
21363,209,1034.55,95,67
21364,25,168.75,21,19
21365,348,360.0,44,35
21366,24,102.0,11,9
21367,163,159.51,35,29
21368,161,129.15,31,25
21369,98,142.5,13,12
21370,15,88.2,8,7
21371,275,274.65,32,27
21372,67,75.73,25,18
21373,507,380.25,45,41
21374,294,400.0,40,37
21375,24,109.80000000000001,12,9
21376,33,154.65,15,13
21377,93,123.20999999999998,19,18
21378,129,175.04999999999998,22,21
21379,147,163.11,24,22
21380,2093,5910.150000000001,235,138
21381,1699,2733.07,144,88
21382,1045,1164.3500000000001,96,64
21383,772,501.8,84,75
21385,3564,2957.64,218,153
21386,713,257.57,51,42
21389,1018,865.3,102,81
21390,3781,4544.13,183,120
21391,975,855.45,81,69
21392,32,38.13,7,5
21393,29,38.67,8,7
21394,3822,1538.62,114,88
21395,2812,1096.6799999999998,79,63
21397,1016,445.26,44,43
21398,1499,642.75,49,43
21399,2047,830.8199999999999,63,50
21400,837,109.74,48,42
21401,1010,132.29999999999998,59,48
21402,1290,155.4,61,54
21403,1718,258.71999999999997,71,58
21407,233,965.0,94,79
21408,225,764.91,68,50
21411,722,2391.46,190,147
21413,36,45.0,10,8
21414,1,2.1,1,1
21415,206,384.13000000000005,32,25
21416,5,18.75,4,4
21417,289,420.88,32,24
21418,59,115.25,13,11
21420,48,87.12,15,12
21421,298,345.14,13,11
21422,1560,1218.36,46,32
21424,227,612.05,22,19
21425,67,188.05,16,12
21426,213,411.30000000000007,18,15
21427,77,161.70000000000002,25,21
21428,1099,4263.55,183,117
21429,1616,2925.0,224,147
21430,2704,9424.32,324,186
21439,1322,1574.98,78,51
21441,376,223.3,38,34
21442,389,232.01,37,31
21445,214,267.5,21,17
21446,400,500.0,86,47
21447,749,936.25,92,56
21448,327,539.55,69,46
21452,745,2140.15,135,109
21454,318,270.29999999999995,47,41
21455,271,230.35,35,32
21456,161,201.25,19,17
21457,115,143.75,16,15
21458,158,197.5,19,18
21459,75,146.25,18,16
21460,26,50.699999999999996,9,9
21461,9,17.55,5,4
21462,192,859.2,67,57
21463,644,3405.3,131,77
21464,244,1034.0,102,57
21465,193,727.46,63,55
21466,267,982.49,91,71
21467,215,813.67,78,58
21468,123,468.67,50,43
21469,250,941.21,71,57
21470,338,1278.63,115,77
21471,495,1702.65,94,77
21472,119,446.25,33,29
21473,22,438.9,18,16
21476,31,463.45,18,14
21479,2702,10227.72,391,252
21481,2925,9218.550000000001,387,253
21484,1555,5810.37,297,205
21485,3335,15871.73,548,371
21486,8,30.0,4,4
21488,3,11.850000000000001,2,2
21494,1228,1624.73,134,79
21495,5800,2356.0,165,102
21497,8600,3430.0,232,177
21498,10547,4320.74,336,238
21499,6925,2808.5,216,175
21500,6350,2593.0,213,162
21503,726,288.92,23,22
21504,1884,763.1999999999999,97,74
21506,4740,1910.8799999999999,253,171
21507,3206,1314.0,199,139
21508,2393,971.11,146,108
21509,3581,1444.75,203,142
21518,265,106.97999999999999,17,16
21519,3217,1320.9,191,100
21520,457,187.62,33,29
21523,3088,19157.02,398,203
21524,1662,12095.67,410,251
21527,468,3540.6000000000004,138,95
21528,179,1230.05,89,62
21530,756,690.12,84,64
21531,1473,3459.15,212,143
21533,1317,6267.150000000001,321,209
21534,327,1593.45,131,94
21535,2460,5830.2,320,204
21537,327,1341.75,58,50
21538,5,18.75,2,2
21539,939,4429.650000000001,215,123
21544,1872,1522.3999999999999,115,80
21547,72,212.40000000000003,17,13
21555,55,140.25,12,11
21556,804,1859.3999999999999,47,38
21557,300,854.0400000000001,52,26
21558,1946,4624.8,275,167
21559,3716,8734.64,438,233
21561,1227,2868.7799999999997,168,116
21562,319,368.35,25,20
21563,1358,2591.02,134,95
21564,1016,1686.5200000000002,103,63
21576,177,403.67,46,40
21577,549,1235.25,116,94
21578,586,1318.5,84,68
21579,154,346.5,34,30
21580,90,202.5,24,21
21581,165,371.25,40,33
21584,1066,1754.8999999999999,159,119
21586,731,1691.25,66,54
21587,197,480.75,30,25
21588,1497,3450.15,138,99
21591,1187,1456.39,154,114
21592,2151,2150.71,225,156
21609,761,2072.15,75,59
21613,221,632.7500000000001,38,37
21614,48,141.60000000000002,7,7
21615,840,1195.0,104,86
21616,755,1093.75,108,84
21617,473,851.75,80,62
21618,303,473.75,58,48
21619,900,1252.5,125,99
21620,811,1211.25,131,97
21621,2540,20962.16,402,267
21622,364,1785.0,94,76
21623,3255,22709.13,208,139
21624,204,1190.8000000000002,85,72
21625,307,2140.19,118,97
21626,742,1446.8999999999999,76,64
21627,38,568.0999999999999,24,14
21628,44,620.4,17,14
21629,53,411.35,27,13
21630,54,461.3,22,13
21631,155,761.85,16,15
21632,60,237.00000000000003,5,5
21633,87,528.45,14,13
21634,948,462.6,23,22
21635,270,367.5,15,15
21636,917,703.95,78,60
21637,109,136.25,6,6
21638,235,493.50000000000006,32,25
21640,541,447.36999999999995,53,38
21641,1102,367.97999999999996,23,19
21642,2452,801.2399999999999,93,79
21643,490,594.26,31,27
21644,215,268.75,34,29
21647,117,245.70000000000002,29,21
21648,654,790.14,33,26
21650,2197,440.89000000000004,68,48
21651,131,201.74999999999997,11,9
21654,946,432.54,50,40
21655,36,60.84,2,1
21656,117,169.64999999999998,17,15
21657,28,194.60000000000002,15,11
21658,773,2874.07,130,82
21661,3,17.85,3,3
21662,74,416.3,16,14
21664,97,346.47,19,15
21666,384,249.60000000000002,33,21
21667,2,29.9,1,1
21668,5035,6224.03,343,169
21669,4969,6284.25,366,167
21670,4004,5028.5199999999995,296,158
21671,4080,5042.4,284,164
21672,4564,5618.04,315,159
21673,3994,4960.5,285,154
21675,525,447.80999999999995,52,45
21676,211,191.04999999999998,32,21
21677,766,655.0,80,62
21678,104,88.39999999999999,16,16
21679,1054,891.2199999999999,87,67
21680,804,683.4,53,43
21681,2,19.9,2,2
21682,177,881.1600000000001,50,42
21683,297,876.1500000000001,48,39
21684,764,575.41,37,27
21686,33,1268.3500000000001,18,6
21688,316,932.2000000000002,39,36
21689,92,345.0,23,22
21690,24,90.0,9,6
21692,17,63.75,8,7
21693,358,1056.1000000000001,45,40
21694,303,817.0500000000001,20,18
21695,283,834.8500000000001,36,35
21696,226,666.7,30,27
21698,266,116.62,22,22
21700,1266,1076.1,87,58
21703,9272,3431.35,247,175
21704,5004,3856.3799999999997,198,137
21705,1377,1299.2099999999998,112,89
21706,229,1134.58,69,53
21707,120,601.22,47,44
21708,139,682.45,33,28
21709,87,430.06,31,30
21710,84,412.41,31,29
21711,86,420.1,23,22
21713,701,1448.1000000000001,130,103
21714,1085,1356.25,127,106
